
Lexeme         Lineno         tokenName                valIfNumber              parentNodeSymbol         IsLeafNode(y/n)          nodeSymbol                    RuleNum             
----           ----           ----                     ----                     input_plist              n                        dataType                      19                  
COMMA          17             COMMA                    ----                     n1                       y                        COMMA                         -1                  
----           ----           ----                     ----                     input_plist              n                        n1                            11                  
b              17             ID                       ----                     n1                       y                        ID                            -1                  
COLON          17             COLON                    ----                     n1                       y                        COLON                         -1                  
INTEGER        17             INTEGER                  ----                     type                     y                        INTEGER                       -1                  
----           ----           ----                     ----                     dataType                 n                        type                          16                  
----           ----           ----                     ----                     n1                       n                        dataType                      19                  
COMMA          17             COMMA                    ----                     n1                       y                        COMMA                         -1                  
----           ----           ----                     ----                     n1                       n                        n1                            11                  
c              17             ID                       ----                     n1                       y                        ID                            -1                  
COLON          17             COLON                    ----                     n1                       y                        COLON                         -1                  
INTEGER        17             INTEGER                  ----                     type                     y                        INTEGER                       -1                  
----           ----           ----                     ----                     dataType                 n                        type                          16                  
----           ----           ----                     ----                     n1                       n                        dataType                      19                  
EMPTY          ----           EMPTY                    ----                     n1                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n1                       n                        n1                            12                  
SQBC           17             SQBC                     ----                     module                   y                        SQBC                          -1                  
SEMICOL        17             SEMICOL                  ----                     module                   y                        SEMICOL                       -1                  
RETURNS        18             RETURNS                  ----                     ret                      y                        RETURNS                       -1                  
----           ----           ----                     ----                     module                   n                        ret                           8                   
SQBO           18             SQBO                     ----                     ret                      y                        SQBO                          -1                  
res_1          18             ID                       ----                     output_plist             y                        ID                            -1                  
----           ----           ----                     ----                     ret                      n                        output_plist                  13                  
COLON          18             COLON                    ----                     output_plist             y                        COLON                         -1                  
BOOLEAN        18             BOOLEAN                  ----                     type                     y                        BOOLEAN                       -1                  
----           ----           ----                     ----                     output_plist             n                        type                          18                  
COMMA          18             COMMA                    ----                     n2                       y                        COMMA                         -1                  
----           ----           ----                     ----                     output_plist             n                        n2                            14                  
res_2_a        18             ID                       ----                     n2                       y                        ID                            -1                  
COLON          18             COLON                    ----                     n2                       y                        COLON                         -1                  
INTEGER        18             INTEGER                  ----                     type                     y                        INTEGER                       -1                  
----           ----           ----                     ----                     n2                       n                        type                          16                  
COMMA          18             COMMA                    ----                     n2                       y                        COMMA                         -1                  
----           ----           ----                     ----                     n2                       n                        n2                            14                  
res_2__b       18             ID                       ----                     n2                       y                        ID                            -1                  
COLON          18             COLON                    ----                     n2                       y                        COLON                         -1                  
REAL           18             REAL                     ----                     type                     y                        REAL                          -1                  
----           ----           ----                     ----                     n2                       n                        type                          17                  
EMPTY          ----           EMPTY                    ----                     n2                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n2                       n                        n2                            15                  
SQBC           18             SQBC                     ----                     ret                      y                        SQBC                          -1                  
SEMICOL        18             SEMICOL                  ----                     ret                      y                        SEMICOL                       -1                  
START          19             START                    ----                     moduleDef                y                        START                         -1                  
----           ----           ----                     ----                     module                   n                        moduleDef                     21                  
DECLARE        20             DECLARE                  ----                     declareStmt              y                        DECLARE                       -1                  
----           ----           ----                     ----                     statement                n                        declareStmt                   75                  
b              20             ID                       ----                     idList                   y                        ID                            -1                  
----           ----           ----                     ----                     declareStmt              n                        idList                        41                  
EMPTY          ----           EMPTY                    ----                     n3                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     idList                   n                        n3                            43                  
COLON          20             COLON                    ----                     declareStmt              y                        COLON                         -1                  
BOOLEAN        20             BOOLEAN                  ----                     type                     y                        BOOLEAN                       -1                  
----           ----           ----                     ----                     dataType                 n                        type                          18                  
----           ----           ----                     ----                     declareStmt              n                        dataType                      19                  
SEMICOL        20             SEMICOL                  ----                     declareStmt              y                        SEMICOL                       -1                  
----           ----           ----                     ----                     statements               n                        statement                     26                  
----           ----           ----                     ----                     moduleDef                n                        statements                    22                  
res_2_a        21             ID                       ----                     assignmentStmt           y                        ID                            -1                  
----           ----           ----                     ----                     simpleStmt               n                        assignmentStmt                37                  
ASSIGNOP       21             ASSIGNOP                 ----                     lvalueIDStmt             y                        ASSIGNOP                      -1                  
----           ----           ----                     ----                     whichStmt                n                        lvalueIDStmt                  96                  
MINUS          21             MINUS                    ----                     unary_op                 y                        MINUS                         -1                  
----           ----           ----                     ----                     u                        n                        unary_op                      100                 
----           ----           ----                     ----                     expression               n                        u                             98                  
BO             21             BO                       ----                     new_NT                   y                        BO                            -1                  
----           ----           ----                     ----                     u                        n                        new_NT                        101                 
a              21             ID                       ----                     var_id_num               y                        ID                            -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    91                  
EMPTY          ----           EMPTY                    ----                     whichId                  y                        EMPTY                         -1                  
----           ----           ----                     ----                     var_id_num               n                        whichId                       32                  
----           ----           ----                     ----                     term                     n                        factor                        60                  
----           ----           ----                     ----                     arithmeticExpr           n                        term                          56                  
MUL            21             MUL                      ----                     op2                      y                        MUL                           -1                  
----           ----           ----                     ----                     n5                       n                        op2                           65                  
----           ----           ----                     ----                     term                     n                        n5                            57                  
b              21             ID                       ----                     var_id_num               y                        ID                            -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    91                  
EMPTY          ----           EMPTY                    ----                     whichId                  y                        EMPTY                         -1                  
----           ----           ----                     ----                     var_id_num               n                        whichId                       32                  
----           ----           ----                     ----                     n5                       n                        factor                        60                  
EMPTY          ----           EMPTY                    ----                     n5                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n5                       n                        n5                            58                  
----           ----           ----                     ----                     new_NT                   n                        arithmeticExpr                53                  
MINUS          21             MINUS                    ----                     op1                      y                        MINUS                         -1                  
----           ----           ----                     ----                     n4                       n                        op1                           64                  
----           ----           ----                     ----                     arithmeticExpr           n                        n4                            54                  
c              21             ID                       ----                     var_id_num               y                        ID                            -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    91                  
EMPTY          ----           EMPTY                    ----                     whichId                  y                        EMPTY                         -1                  
----           ----           ----                     ----                     var_id_num               n                        whichId                       32                  
----           ----           ----                     ----                     term                     n                        factor                        60                  
----           ----           ----                     ----                     n4                       n                        term                          56                  
DIV            21             DIV                      ----                     op2                      y                        DIV                           -1                  
----           ----           ----                     ----                     n5                       n                        op2                           66                  
----           ----           ----                     ----                     term                     n                        n5                            57                  
----           21             NUM                      5                        var_id_num               y                        NUM                           -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    92                  
----           ----           ----                     ----                     n5                       n                        factor                        60                  
EMPTY          ----           EMPTY                    ----                     n5                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n5                       n                        n5                            58                  
EMPTY          ----           EMPTY                    ----                     n4                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n4                       n                        n4                            55                  
BC             21             BC                       ----                     new_NT                   y                        BC                            -1                  
----           ----           ----                     ----                     lvalueIDStmt             n                        expression                    45                  
SEMICOL        21             SEMICOL                  ----                     lvalueIDStmt             y                        SEMICOL                       -1                  
----           ----           ----                     ----                     assignmentStmt           n                        whichStmt                     94                  
----           ----           ----                     ----                     statement                n                        simpleStmt                    35                  
----           ----           ----                     ----                     statements               n                        statement                     25                  
----           ----           ----                     ----                     statements               n                        statements                    22                  
res_2__b       22             ID                       ----                     assignmentStmt           y                        ID                            -1                  
----           ----           ----                     ----                     simpleStmt               n                        assignmentStmt                37                  
ASSIGNOP       22             ASSIGNOP                 ----                     lvalueIDStmt             y                        ASSIGNOP                      -1                  
----           ----           ----                     ----                     whichStmt                n                        lvalueIDStmt                  96                  
BO             22             BO                       ----                     factor                   y                        BO                            -1                  
----           ----           ----                     ----                     term                     n                        factor                        59                  
BO             22             BO                       ----                     factor                   y                        BO                            -1                  
----           ----           ----                     ----                     term                     n                        factor                        59                  
res_2_a        22             ID                       ----                     var_id_num               y                        ID                            -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    91                  
EMPTY          ----           EMPTY                    ----                     whichId                  y                        EMPTY                         -1                  
----           ----           ----                     ----                     var_id_num               n                        whichId                       32                  
----           ----           ----                     ----                     term                     n                        factor                        60                  
----           ----           ----                     ----                     arithmeticExpr           n                        term                          56                  
EMPTY          ----           EMPTY                    ----                     n5                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     term                     n                        n5                            58                  
----           ----           ----                     ----                     anyTerm                  n                        arithmeticExpr                53                  
PLUS           22             PLUS                     ----                     op1                      y                        PLUS                          -1                  
----           ----           ----                     ----                     n4                       n                        op1                           63                  
----           ----           ----                     ----                     arithmeticExpr           n                        n4                            54                  
a              22             ID                       ----                     var_id_num               y                        ID                            -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    91                  
EMPTY          ----           EMPTY                    ----                     whichId                  y                        EMPTY                         -1                  
----           ----           ----                     ----                     var_id_num               n                        whichId                       32                  
----           ----           ----                     ----                     term                     n                        factor                        60                  
----           ----           ----                     ----                     n4                       n                        term                          56                  
EMPTY          ----           EMPTY                    ----                     n5                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     term                     n                        n5                            58                  
EMPTY          ----           EMPTY                    ----                     n4                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n4                       n                        n4                            55                  
----           ----           ----                     ----                     arithmeticOrBooleanExpr  n                        anyTerm                       49                  
EMPTY          ----           EMPTY                    ----                     n8                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     anyTerm                  n                        n8                            52                  
----           ----           ----                     ----                     factor                   n                        arithmeticOrBooleanExpr       46                  
EMPTY          ----           EMPTY                    ----                     n7                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     arithmeticOrBooleanExpr  n                        n7                            48                  
BC             22             BC                       ----                     factor                   y                        BC                            -1                  
----           ----           ----                     ----                     arithmeticExpr           n                        term                          56                  
MUL            22             MUL                      ----                     op2                      y                        MUL                           -1                  
----           ----           ----                     ----                     n5                       n                        op2                           65                  
----           ----           ----                     ----                     term                     n                        n5                            57                  
----           22             NUM                      12                       var_id_num               y                        NUM                           -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    92                  
----           ----           ----                     ----                     n5                       n                        factor                        60                  
EMPTY          ----           EMPTY                    ----                     n5                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n5                       n                        n5                            58                  
----           ----           ----                     ----                     anyTerm                  n                        arithmeticExpr                53                  
PLUS           22             PLUS                     ----                     op1                      y                        PLUS                          -1                  
----           ----           ----                     ----                     n4                       n                        op1                           63                  
----           ----           ----                     ----                     arithmeticExpr           n                        n4                            54                  
----           22             RNUM                     0.223400                 var_id_num               y                        RNUM                          -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    93                  
----           ----           ----                     ----                     term                     n                        factor                        60                  
----           ----           ----                     ----                     n4                       n                        term                          56                  
EMPTY          ----           EMPTY                    ----                     n5                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     term                     n                        n5                            58                  
EMPTY          ----           EMPTY                    ----                     n4                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n4                       n                        n4                            55                  
----           ----           ----                     ----                     arithmeticOrBooleanExpr  n                        anyTerm                       49                  
EMPTY          ----           EMPTY                    ----                     n8                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     anyTerm                  n                        n8                            52                  
----           ----           ----                     ----                     factor                   n                        arithmeticOrBooleanExpr       46                  
EMPTY          ----           EMPTY                    ----                     n7                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     arithmeticOrBooleanExpr  n                        n7                            48                  
BC             22             BC                       ----                     factor                   y                        BC                            -1                  
----           ----           ----                     ----                     arithmeticExpr           n                        term                          56                  
DIV            22             DIV                      ----                     op2                      y                        DIV                           -1                  
----           ----           ----                     ----                     n5                       n                        op2                           66                  
----           ----           ----                     ----                     term                     n                        n5                            57                  
----           22             NUM                      13                       var_id_num               y                        NUM                           -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    92                  
----           ----           ----                     ----                     n5                       n                        factor                        60                  
EMPTY          ----           EMPTY                    ----                     n5                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n5                       n                        n5                            58                  
----           ----           ----                     ----                     anyTerm                  n                        arithmeticExpr                53                  
EMPTY          ----           EMPTY                    ----                     n4                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     arithmeticExpr           n                        n4                            55                  
----           ----           ----                     ----                     arithmeticOrBooleanExpr  n                        anyTerm                       49                  
EMPTY          ----           EMPTY                    ----                     n8                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     anyTerm                  n                        n8                            52                  
----           ----           ----                     ----                     expression               n                        arithmeticOrBooleanExpr       46                  
EMPTY          ----           EMPTY                    ----                     n7                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     arithmeticOrBooleanExpr  n                        n7                            48                  
----           ----           ----                     ----                     lvalueIDStmt             n                        expression                    44                  
SEMICOL        22             SEMICOL                  ----                     lvalueIDStmt             y                        SEMICOL                       -1                  
----           ----           ----                     ----                     assignmentStmt           n                        whichStmt                     94                  
----           ----           ----                     ----                     statement                n                        simpleStmt                    35                  
----           ----           ----                     ----                     statements               n                        statement                     25                  
----           ----           ----                     ----                     statements               n                        statements                    22                  
b              23             ID                       ----                     assignmentStmt           y                        ID                            -1                  
----           ----           ----                     ----                     simpleStmt               n                        assignmentStmt                37                  
ASSIGNOP       23             ASSIGNOP                 ----                     lvalueIDStmt             y                        ASSIGNOP                      -1                  
----           ----           ----                     ----                     whichStmt                n                        lvalueIDStmt                  96                  
a              23             ID                       ----                     var_id_num               y                        ID                            -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    91                  
EMPTY          ----           EMPTY                    ----                     whichId                  y                        EMPTY                         -1                  
----           ----           ----                     ----                     var_id_num               n                        whichId                       32                  
----           ----           ----                     ----                     term                     n                        factor                        60                  
----           ----           ----                     ----                     arithmeticExpr           n                        term                          56                  
EMPTY          ----           EMPTY                    ----                     n5                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     term                     n                        n5                            58                  
----           ----           ----                     ----                     anyTerm                  n                        arithmeticExpr                53                  
EMPTY          ----           EMPTY                    ----                     n4                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     arithmeticExpr           n                        n4                            55                  
----           ----           ----                     ----                     arithmeticOrBooleanExpr  n                        anyTerm                       49                  
LE             23             LE                       ----                     relationalOp             y                        LE                            -1                  
----           ----           ----                     ----                     n8                       n                        relationalOp                  70                  
----           ----           ----                     ----                     anyTerm                  n                        n8                            51                  
b              23             ID                       ----                     var_id_num               y                        ID                            -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    91                  
