
Lexeme         LINENO         tokenName                valIfNumber              parentNodeSymbol         IsLeafNode(y/n)          nodeSymbol          
PRINT          44             PRINT                    ----                     ioStmt                   y                        PRINT               
----           -1             ----                     ----                     statement                n                        ioStmt              
BO             44             BO                       ----                     ioStmt                   y                        BO                  
----           44             RNUM                     34.230000                var_id_num               y                        RNUM                
----           -1             ----                     ----                     var                      n                        var_id_num          
----           -1             ----                     ----                     ioStmt                   n                        var                 
BC             44             BC                       ----                     ioStmt                   y                        BC                  
SEMICOL        44             SEMICOL                  ----                     ioStmt                   y                        SEMICOL             
----           -1             ----                     ----                     statements               n                        statement           
----           -1             ----                     ----                     statements               n                        statements          
PRINT          45             PRINT                    ----                     ioStmt                   y                        PRINT               
----           -1             ----                     ----                     statement                n                        ioStmt              
BO             45             BO                       ----                     ioStmt                   y                        BO                  
arr1           45             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     var                      n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     ioStmt                   n                        var                 
BC             45             BC                       ----                     ioStmt                   y                        BC                  
SEMICOL        45             SEMICOL                  ----                     ioStmt                   y                        SEMICOL             
----           -1             ----                     ----                     statements               n                        statement           
----           -1             ----                     ----                     statements               n                        statements          
PRINT          46             PRINT                    ----                     ioStmt                   y                        PRINT               
----           -1             ----                     ----                     statement                n                        ioStmt              
BO             46             BO                       ----                     ioStmt                   y                        BO                  
TRUE           46             TRUE                     ----                     boolConstt               y                        TRUE                
----           -1             ----                     ----                     var                      n                        boolConstt          
----           -1             ----                     ----                     ioStmt                   n                        var                 
BC             46             BC                       ----                     ioStmt                   y                        BC                  
SEMICOL        46             SEMICOL                  ----                     ioStmt                   y                        SEMICOL             
----           -1             ----                     ----                     statements               n                        statement           
----           -1             ----                     ----                     statements               n                        statements          
PRINT          47             PRINT                    ----                     ioStmt                   y                        PRINT               
----           -1             ----                     ----                     statement                n                        ioStmt              
BO             47             BO                       ----                     ioStmt                   y                        BO                  
FALSE          47             FALSE                    ----                     boolConstt               y                        FALSE               
----           -1             ----                     ----                     var                      n                        boolConstt          
----           -1             ----                     ----                     ioStmt                   n                        var                 
BC             47             BC                       ----                     ioStmt                   y                        BC                  
SEMICOL        47             SEMICOL                  ----                     ioStmt                   y                        SEMICOL             
----           -1             ----                     ----                     statements               n                        statement           
----           -1             ----                     ----                     statements               n                        statements          
FOR            55             FOR                      ----                     iterativeStmt            y                        FOR                 
----           -1             ----                     ----                     statement                n                        iterativeStmt       
BO             55             BO                       ----                     iterativeStmt            y                        BO                  
id1            55             ID                       ----                     iterativeStmt            y                        ID                  
IN             55             IN                       ----                     iterativeStmt            y                        IN                  
----           55             NUM                      3                        range                    y                        NUM                 
----           -1             ----                     ----                     iterativeStmt            n                        range               
RANGEOP        55             RANGEOP                  ----                     range                    y                        RANGEOP             
----           55             NUM                      5                        range                    y                        NUM                 
BC             55             BC                       ----                     iterativeStmt            y                        BC                  
START          56             START                    ----                     iterativeStmt            y                        START               
