Type                Parent              Is Leaf  Terminal/Non-Terminal  Line Number Lexeme                Data Type Operator  Value   Rule Number 
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     51          D                     ----      ----      D       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     52          sum2                  ----      ----      sum2    0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
SIMPLE STMT         STATEMENT           No       simpleStmt             ----        ----                  ----      ----      ----    35          
ASSIGN              SIMPLE STMT         No       assignmentStmt         ----        ----                  ----      ----      ----    37          
LEAF                ASSIGN              Yes      ID                     55          sum3                  ----      ----      sum3    0           
LEAF                ASSIGN              Yes      NUM                    55          ----                  ----      ----      ----    0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     56          C                     ----      ----      C       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
DECLARE STMT        STATEMENT           No       declareStmt            ----        ----                  ----      ----      ----    75          
ID LIST             DECLARE STMT        No       idList                 ----        ----                  ----      ----      ----    41          
LEAF                ID LIST             Yes      ID                     57          j                     ----      ----      j       0           
ID LIST             ID LIST             No       n3                     ----        ----                  ----      ----      ----    42          
LEAF                ID LIST             Yes      ID                     57          index                 ----      ----      index   0           
LEAF                DECLARE STMT        Yes      INTEGER                57          INTEGER               ----      ----      INTEGER 16          
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
ITER STMT           STATEMENT           No       iterativeStmt          ----        ----                  ----      ----      ----    85          
LEAF                ITER STMT           Yes      ID                     58          j                     ----      ----      j       0           
RANGE ARRAYS        ITER STMT           No       range                  ----        ----                  ----      ----      ----    87          
LEAF                RANGE ARRAYS        Yes      NUM                    58          ----                  ----      ----      ----    0           
LEAF                RANGE ARRAYS        Yes      NUM                    58          ----                  ----      ----      ----    0           
STATEMENT           ITER STMT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    29          
LEAF                IO                  Yes      ID                     60          index                 ----      ----      index   0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
SIMPLE STMT         STATEMENT           No       simpleStmt             ----        ----                  ----      ----      ----    35          
ASSIGN              SIMPLE STMT         No       assignmentStmt         ----        ----                  ----      ----      ----    37          
LEAF                ASSIGN              Yes      ID                     61          sum3                  ----      ----      sum3    0           
AOB EXPR            ASSIGN              No       n4                     ----        ----                  Integer   PLUS      ----    54          
VARIDNUM            AOB EXPR            No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     61          sum3                  ----      ----      sum3    0           
VARIDNUM            AOB EXPR            No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     61          C                     ----      ----      C       0           
LEAF                VARIDNUM            Yes      ID                     61          index                 ----      ----      index   0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     62          sum3                  ----      ----      sum3    0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     64          sum3                  ----      ----      sum3    0           
MODULE LIST         PROGRAM             No       driverModule           ----        ----                  ----      ----      ----    6           
STATEMENT           MODULE LIST         No       moduleDef              ----        ----                  ----      ----      ----    21          
LEAF                STATEMENT           Yes      START                  68          START                 ----      ----      START   0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
DECLARE STMT        STATEMENT           No       declareStmt            ----        ----                  ----      ----      ----    75          
ID LIST             DECLARE STMT        No       idList                 ----        ----                  ----      ----      ----    41          
LEAF                ID LIST             Yes      ID                     69          m                     ----      ----      m       0           
ID LIST             ID LIST             No       n3                     ----        ----                  ----      ----      ----    42          
LEAF                ID LIST             Yes      ID                     69          n                     ----      ----      n       0           
LEAF                DECLARE STMT        Yes      INTEGER                69          INTEGER               ----      ----      INTEGER 16          
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
DECLARE STMT        STATEMENT           No       declareStmt            ----        ----                  ----      ----      ----    75          
ID LIST             DECLARE STMT        No       idList                 ----        ----                  ----      ----      ----    41          
LEAF                ID LIST             Yes      ID                     70          s1                    ----      ----      s1      0           
ID LIST             ID LIST             No       n3                     ----        ----                  ----      ----      ----    42          
LEAF                ID LIST             Yes      ID                     70          s2                    ----      ----      s2      0           
ID LIST             ID LIST             No       n3                     ----        ----                  ----      ----      ----    42          
LEAF                ID LIST             Yes      ID                     70          s3                    ----      ----      s3      0           
LEAF                DECLARE STMT        Yes      INTEGER                70          INTEGER               ----      ----      INTEGER 16          
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    29          
LEAF                IO                  Yes      ID                     71          m                     ----      ----      m       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    29          
LEAF                IO                  Yes      ID                     72          n                     ----      ----      n       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
DECLARE STMT        STATEMENT           No       declareStmt            ----        ----                  ----      ----      ----    75          
ID LIST             DECLARE STMT        No       idList                 ----        ----                  ----      ----      ----    41          
